-2344,141420,214061
316133557,-2204,140575,214233
316134260,-2015,140912,213676
316134961,-2146,140761,214025
316135662,-2487,140622,214201
316136365,-2142,140782,214148
316137068,-2256,141076,213977
316137769,-2383,141119,214247
316138472,-2312,141059,214248
316139175,-2411,140926,214030
316139876,-2145,140901,214400
316140578,-2162,140898,214287
316141281,-2140,141059,214224
316141982,-2227,140729,213892
316142683,-2183,140769,214099
316143386,-2181,140916,214397
316144089,-2205,140722,214216
316144790,-2216,140959,214191
316145493,-2433,140852,214240
316146196,-2447,141107,214113
316146897,-2378,141063,214328
316147598,-2477,141190,214435
316148301,-2496,141064,214204
316149003,-2175,140995,214202
316149704,-2514,140910,214047
316150407,-2214,140850,213868
316151109,-2232,141003,214054
316151810,-2257,140714,214215
316152512,-2320,140659,214410
316153215,-2427,140478,214269
316153916,-2055,141139,213951
316154618,-2342,141001,214268
316155321,-2357,140840,213860
316156023,-2568,141048,214400
316156725,-2608,140928,214171
316157428,-2504,140849,214351
316158130,-2580,141109,214284
316158832,-2553,140888,214279
316159534,-2469,140778,214206
316160236,-2585,140942,214173
316160938,-2322,140719,214074
316161639,-2213,140561,213925
316162341,-2132,140868,213678
316163044,-2095,140724,214085
316163745,-2301,140892,214167
316164447,-2299,140871,214030
316165150,-2182,140886,214228
316165852,-2478,141055,214086
316166553,-2520,141003,214248
316167256,-2402,140926,214106
316167958,-2434,141261,214485
316168659,-2537,141189,213950
316169362,-2546,140593,213766
316170065,-2643,140902,214398
316170766,-2235,140634,214207
316171468,-2183,140487,214145
316172171,-2284,140775,213901
316172872,-2142,140811,213928
316173573,-2222,140905,214197
316174276,-2031,141183,214281
316174977,-2072,141060,214008
316175678,-2169,141257,214243
316176380,-2500,141109,214474
316177083,-2467,140924,214691
316177785,-2356,141331,214050
316178487,-2365,140914,214333
316179190,-2573,140925,214357
316179892,-2618,140852,214340
316180593,-2273,140850,214512
316181296,-2452,140769,214363
316181998,-2314,140959,214205
316182699,-2262,140977,213921
316183402,-2286,140880,214291
316184105,-1978,140938,214038
316184806,-2245,141071,213996
316185507,-2472,141250,214170
316186210,-2384,141161,214063
316186911,-2684,140871,214353
316187612,-2420,140994,214079
316188315,-2444,141145,214119
316189018,-2310,140951,214243
316189719,-2346,140882,214143
316190422,-2248,140625,214253
316191125,-2365,140739,214035
316191826,-2238,140863,214116
316192528,-2431,140994,213843
316193231,-2406,140848,214402
316193932,-2451,141041,214320
316194634,-2554,140898,214165
316195336,-2587,141023,213990
316196038,-2616,140784,214290
316196740,-2782,141098,214106
316197443,-2657,140914,214116
316198145,-2230,140852,214286
316198847,-2535,141023,214092
316199549,-2221,140898,214104
316200251,-2254,140896,214027
316200953,-2173,140866,214163
316201655,-2068,141045,214194
316202357,-1953,141150,214071
316203060,-2133,140929,213906
316203762,-2343,140886,213805
316204464,-2463,140810,214110
316205167,-2434,140907,214183
316205869,-2444,140997,213914
316206570,-2410,141131,214363
316207273,-2698,140832,214229
316207975,-2675,140965,213853
316208676,-2231,140787,214107
316209379,-2420,140844,214077
316210082,-2349,140788,214143
316210783,-2228,140914,213949
316211486,-2167,140916,213981
316212189,-1989,141072,214238
316212890,-2097,141026,214380
316213591,-2169,140983,213904
316214294,-2176,141078,214176
316214995,-2459,140666,214243
316215696,-2537,140971,214353
316216399,-2487,140681,214274
316217102,-2724,140870,214317
316217803,-2241,140814,214100
316218505,-2614,140677,214241
316219208,-2023,140712,214043
316219909,-1946,140852,213907
316220611,-2483,140744,214075
316221313,-2006,140556,214340
316222015,-2253,140950,214086
316222717,-2293,140709,213956
316223419,-2339,140861,214355
316224121,-2445,140986,213980
316224823,-2550,141038,214291
316225524,-2435,141145,214271
316226226,-2613,140895,214061
316226928,-2424,140938,214082
316227630,-2419,141068,214012
316228332,-2508,140766,214379
316229035,-2247,140889,213987
316229737,-2269,140864,214203
316230439,-2474,140883,213886
316231142,-2196,140712,214371
316231844,-2428,140743,214215
316232545,-2478,141007,214144
316233248,-2421,140915,214269
316233950,-2517,140978,213989
316234651,-2342,140710,213975
316235354,-2669,141051,214013
316236057,-2549,140820,214329
316236758,-2350,140886,214322
316237461,-2438,140965,214443
316238164,-2326,140931,214329
316238865,-2455,140747,214254
316239566,-2229,140846,214076
316240269,-2084,140969,214135
316240970,-2263,140853,214169
316241671,-2553,140807,214372
316242374,-2348,140663,214092
316243076,-2358,140803,214466
316243777,-2631,140905,214152
316244480,-2769,140954,214061
316245182,-2668,141037,214082
316245883,-2460,141001,214191
316246585,-2601,140963,214203
316247288,-2161,140840,214373
316247989,-2475,140949,213858
316248691,-2162,140871,214409
316249394,-2178,141052,214166
316250096,-2152,140788,213972
316250797,-2122,140860,214556
316251500,-2105,140905,213979
316252202,-2257,140994,214368
